Neighborhood,AVGrent
The Highlands,1295
Richmond Beach,1295
Innis Arden,1295
Rainier View,1379
Zenith,1466
Woodmont,1466
South Des Moines,1466
Redondo,1466
Pacific Ridge,1466
North Central Des Moines,1466
Marina District,1466
Central Des Moines,1466
North Hill,1471
South Park,1509
Georgetown,1509
Ridgecrest,1515
North City,1515
Briarcrest,1515
Ballinger,1515
Richmond Highlands,1574
Hillwood,1574
Highland Terrace,1574
Broadview,1574
Echo Lake,1584
Westminster Triangle,1599
Parkwood,1599
Meridian Park,1599
Bitter Lake,1599
Haller Lake,1608
Victory Heights,1615
Pinehurst,1615
Olympic Hills,1615
Cedar Park,1615
North Beach - Blue Ridge,1630
Crown Hill,1630
Meadowbrook,1727
Matthews Beach,1727
Maple Leaf,1727
Rainier Beach,1729
Fauntleroy,1757
Arbor Heights,1757
Southeast Magnolia,1772
Lawton Park,1772
Briarcliff,1772
North College Park,1792
North Beacon Hill,1797
Greenwood,1798
South Beacon Hill,1810
Mid-Beacon Hill,1810
Holly Park,1810
Columbia City,1810
Roxhill,1850
North Delridge,1850
High Point,1850
South Delridge,1855
Riverview,1855
Highland Park,1855
Harbor Island-Industrial District,1855
Seward Park,1859
Dunlap,1859
Brighton,1859
Gatewood,1861
Fairmount Park,1861
Mount Baker,1864
Atlantic,1873
Stevens,1874
Madison Park,1874
Harrison - Denny Blaine,1874
Whittier Heights,1878
Loyal Heights,1878
Wedgwood,1909
View Ridge,1909
Sand Point,1909
Roosevelt,1909
Windermere,1922
Ravenna,1922
Bryant,1922
University District,1931
Laurelhurst,1931
North Admiral,1945
Genesee,1945
Montlake,1956
Portage Bay,1977
Seaview,1992
Junction,1995
Alki,1995
Wallingford,1997
Broadway,1998
Leschi,2001
Green Lake,2003
Mann,2005
Interbay,2016
Sunset Hill,2017
Minor,2018
Madrona,2018
West Woodland,2036
Ballard,2036
Phinney Ridge,2058
Yesler Terrace,2065
West Queen Anne,2068
Fremont,2072
International District,2095
Pioneer Square,2150
First Hill,2294
Eastlake,2357
North Queen Anne,2383
Lower Queen Anne,2383
Westlake,2455
South Lake Union,2455
East Queen Anne,2455
Seattle Central Business District,2484
Central Waterfront,2522
Pike Market,2623
Belltown,2623
